source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext101_32x8d,339.4,88.79,16.4,3,1866.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,resnext101_32x8d,339.4,88.79,16.4,4,1822.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,wide_resnet50_2,263.0,68.88,11.4,1,2680.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,wide_resnet50_2,263.0,68.88,11.4,2,1485.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,wide_resnet50_2,263.0,68.88,11.4,3,1287.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,wide_resnet50_2,263.0,68.88,11.4,4,1234.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,inception_v3,103.7,23.83,2.84,1,890.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,inception_v3,103.7,23.83,2.84,2,487.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,inception_v3,103.7,23.83,2.84,3,386.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,inception_v3,103.7,23.83,2.84,4,347.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_1_6gf,35.22,9.19,1.61,1,492.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_1_6gf,35.22,9.19,1.61,2,283.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_1_6gf,35.22,9.19,1.61,3,213.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_1_6gf,35.22,9.19,1.61,4,201.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_3_2gf,58.59,15.29,3.19,1,978.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_3_2gf,58.59,15.29,3.19,2,535.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_3_2gf,58.59,15.29,3.19,3,391.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_3_2gf,58.59,15.29,3.19,4,364.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_8gf,151.3,39.57,8.02,1,2350.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_8gf,151.3,39.57,8.02,2,1269.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_8gf,151.3,39.57,8.02,3,924.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_8gf,151.3,39.57,8.02,4,831.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_16gf,207.4,54.27,15.9,1,5024.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_16gf,207.4,54.27,15.9,2,2692.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_16gf,207.4,54.27,15.9,3,1956.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_16gf,207.4,54.27,15.9,4,1786.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_32gf,411.8,107.8,31.8,1,9831.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_32gf,411.8,107.8,31.8,2,5294.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_32gf,411.8,107.8,31.8,3,3916.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_32gf,411.8,107.8,31.8,4,3827.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_400mf,21.11,5.496,0.42,1,157.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_400mf,21.11,5.496,0.42,2,91.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_400mf,21.11,5.496,0.42,3,71.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_400mf,21.11,5.496,0.42,4,69.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_800mf,27.83,7.259,0.81,1,257.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_800mf,27.83,7.259,0.81,2,146.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_800mf,27.83,7.259,0.81,3,118.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_x_800mf,27.83,7.259,0.81,4,113.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_1_6gf,42.93,11.2,1.63,1,514.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_1_6gf,42.93,11.2,1.63,2,295.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_1_6gf,42.93,11.2,1.63,3,225.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_1_6gf,42.93,11.2,1.63,4,233.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_3_2gf,74.39,19.43,3.2,1,923.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_3_2gf,74.39,19.43,3.2,2,508.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_3_2gf,74.39,19.43,3.2,3,387.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_3_2gf,74.39,19.43,3.2,4,367.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_8gf,150.5,39.38,8.51,1,2761.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_8gf,150.5,39.38,8.51,2,1496.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_8gf,150.5,39.38,8.51,3,1119.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_8gf,150.5,39.38,8.51,4,1048.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_16gf,319.3,83.59,15.9,1,6214.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_16gf,319.3,83.59,15.9,2,3275.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_16gf,319.3,83.59,15.9,3,2419.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_16gf,319.3,83.59,15.9,4,2307.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_32gf,553.9,145.0,32.3,1,10301.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_32gf,553.9,145.0,32.3,2,5663.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_32gf,553.9,145.0,32.3,3,4356.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_32gf,553.9,145.0,32.3,4,4517.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_400mf,16.67,4.344,0.41,1,168.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_400mf,16.67,4.344,0.41,2,98.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_400mf,16.67,4.344,0.41,3,78.0
